index,Adj Close,Open,High,Low,Volume
2015-06-24 00:00:00,12300,11650,12400,11600,1141079
2015-06-25 00:00:00,12350,12350,12550,12150,661745
2015-06-26 00:00:00,12050,12400,12850,12050,858812
2015-06-29 00:00:00,11300,11700,12250,11200,786684
2015-06-30 00:00:00,11450,11200,11550,10900,568095
2015-07-01 00:00:00,11550,11550,11700,11450,415957
2015-07-02 00:00:00,11550,11750,12050,11500,638349
2015-07-03 00:00:00,13250,12500,14150,12350,4905303
2015-07-06 00:00:00,13150,13200,13800,12800,1621505
2015-07-07 00:00:00,11850,13500,14350,11750,3122914
2015-07-08 00:00:00,11200,11950,12050,10950,1268432
2015-07-09 00:00:00,11350,11000,11500,10650,792284
2015-07-10 00:00:00,11250,11450,11950,11100,658690
2015-07-13 00:00:00,11600,11300,11600,11200,386098
2015-07-14 00:00:00,11800,11800,11900,11450,403796
2015-07-15 00:00:00,11800,11900,11950,11600,300789
2015-07-16 00:00:00,11600,11800,11850,11500,378740
2015-07-17 00:00:00,11300,11700,11750,11250,347373
2015-07-20 00:00:00,11550,11400,11650,11200,310989
2015-07-21 00:00:00,11300,11600,11650,11200,257017
2015-07-22 00:00:00,11300,11250,11450,11100,207379
2015-07-23 00:00:00,11550,11400,11700,11150,499839
2015-07-24 00:00:00,12400,11550,12400,11450,1053391
2015-07-27 00:00:00,12150,12500,12850,12050,838232
2015-07-28 00:00:00,11850,11900,12150,11500,575668
2015-07-29 00:00:00,11150,12100,12500,11100,1005858
2015-07-30 00:00:00,10250,11200,11350,10200,754133
2015-07-31 00:00:00,10150,10350,10500,9740,774021
2015-08-03 00:00:00,9900,10250,10350,9840,438915
2015-08-04 00:00:00,10250,9820,10250,9820,264246
2015-08-05 00:00:00,10550,10300,10600,10200,283490
2015-08-06 00:00:00,10650,10450,10750,10450,282055
2015-08-07 00:00:00,10650,10500,10750,10300,195916
2015-08-10 00:00:00,10500,10750,10800,10350,182360
2015-08-11 00:00:00,10000,10600,10650,9980,321336
2015-08-12 00:00:00,9840,9970,10150,9300,400257
2015-08-13 00:00:00,10050,9720,10250,9680,274309
2015-08-17 00:00:00,10000,10150,10250,10000,156466
2015-08-18 00:00:00,9740,10150,10200,9650,283802
2015-08-19 00:00:00,9240,9530,9670,9100,285268
2015-08-20 00:00:00,9030,9020,9450,9020,254318
2015-08-21 00:00:00,8450,8400,8700,8390,379543
2015-08-24 00:00:00,8450,8250,8850,8250,362039
2015-08-25 00:00:00,8790,8530,9100,8450,376872
2015-08-26 00:00:00,9160,8790,9200,8700,277332
2015-08-27 00:00:00,9170,9290,9350,9080,159939
2015-08-28 00:00:00,9250,9300,9400,9250,118151
2015-08-31 00:00:00,9160,9300,9300,9060,89772
2015-09-01 00:00:00,8980,9160,9200,8980,121504
2015-09-02 00:00:00,8810,8720,8890,8720,188108
2015-09-03 00:00:00,8720,8980,8980,8710,144604
2015-09-04 00:00:00,8320,8780,8790,8310,199628
2015-09-07 00:00:00,8500,8320,8590,8200,194340
2015-09-08 00:00:00,8170,8450,8570,8130,191714
2015-09-09 00:00:00,8470,8290,8540,8260,147607
2015-09-10 00:00:00,8580,8470,8590,8350,126034
2015-09-11 00:00:00,8680,8610,8740,8470,117380
2015-09-14 00:00:00,8620,8760,8760,8520,76856
2015-09-15 00:00:00,8820,8570,8950,8570,126940
2015-09-16 00:00:00,9380,8970,9520,8830,307609
2015-09-17 00:00:00,9470,9440,9660,9320,277555
2015-09-18 00:00:00,9600,9640,9650,9390,159290
2015-09-21 00:00:00,9500,9560,9660,9310,121069
2015-09-22 00:00:00,9560,9590,9620,9400,85681
2015-09-23 00:00:00,9310,9440,9480,9200,137079
2015-09-24 00:00:00,9300,9400,9440,9230,65499
2015-09-25 00:00:00,9470,9400,9490,9200,79783
2015-09-30 00:00:00,9180,9250,9340,9150,82879
2015-10-01 00:00:00,9220,9210,9300,9160,60334
2015-10-02 00:00:00,9160,9200,9250,9080,48569
2015-10-05 00:00:00,9230,9230,9370,9160,65437
2015-10-06 00:00:00,9230,9250,9340,9190,45884
2015-10-07 00:00:00,9040,9280,9280,8950,119219
2015-10-08 00:00:00,8850,9000,9120,8810,129990
2015-10-12 00:00:00,9000,8750,9060,8750,61158
2015-10-13 00:00:00,9030,8960,9170,8960,65056
2015-10-14 00:00:00,8990,9000,9030,8800,70851
2015-10-15 00:00:00,9010,8970,9040,8890,30904
2015-10-16 00:00:00,9100,9030,9240,9020,83319
2015-10-19 00:00:00,9300,9180,9370,9140,114618
2015-10-20 00:00:00,9300,9360,9380,9230,85684
2015-10-21 00:00:00,9350,9290,9400,9230,108038
2015-10-22 00:00:00,9340,9320,9610,9320,324593
2015-10-23 00:00:00,9350,9400,9510,9280,103819
2015-10-26 00:00:00,9300,9300,9360,9230,71148
2015-10-27 00:00:00,9140,9270,9310,9080,92127
2015-10-28 00:00:00,9060,9140,9180,9000,88760
2015-10-29 00:00:00,9550,9100,9600,9010,156683
2015-10-30 00:00:00,9860,9450,10200,9310,702558
2015-11-02 00:00:00,9860,9850,10000,9650,245811
2015-11-03 00:00:00,9920,10000,10050,9750,134307
2015-11-04 00:00:00,9840,9990,9990,9810,106067
2015-11-05 00:00:00,9940,9860,10100,9850,308267
2015-11-06 00:00:00,9900,10200,10200,9900,203249
2015-11-09 00:00:00,9420,9950,9950,9420,203874
2015-11-10 00:00:00,9290,9350,9420,9070,104811
2015-11-11 00:00:00,9940,9210,9990,9210,187212
2015-11-12 00:00:00,9710,9970,9970,9570,162417
2015-11-13 00:00:00,9500,9600,9650,9380,76673
2015-11-16 00:00:00,9360,9310,9490,9270,94313
2015-11-17 00:00:00,9740,9370,9810,9370,155184
2015-11-18 00:00:00,9840,9820,9960,9590,144545
2015-11-19 00:00:00,9830,9920,9920,9640,85067
2015-11-20 00:00:00,10000,9830,10000,9820,175404
2015-11-23 00:00:00,10050,10000,10150,10000,134052
2015-11-24 00:00:00,9890,10150,10150,9740,169146
2015-11-25 00:00:00,9750,9870,9970,9750,75973
2015-11-26 00:00:00,9820,9770,9850,9750,74710
2015-11-27 00:00:00,9770,9820,9830,9550,109649
2015-11-30 00:00:00,9690,9660,9860,9570,78557
2015-12-01 00:00:00,9560,9640,9730,9550,74468
2015-12-02 00:00:00,9600,9590,9670,9460,105581
2015-12-03 00:00:00,9530,9520,9650,9500,43884
2015-12-04 00:00:00,9390,9460,9500,9300,59672
2015-12-07 00:00:00,9360,9400,9630,9360,72499
2015-12-08 00:00:00,9100,9360,9430,9070,105958
2015-12-09 00:00:00,9110,9080,9200,9080,45924
2015-12-10 00:00:00,8920,9250,9250,8810,107233
2015-12-11 00:00:00,8630,8930,8990,8610,140796
2015-12-14 00:00:00,8360,8500,8510,8350,68282
2015-12-15 00:00:00,8700,8380,8760,8380,64117
2015-12-16 00:00:00,8860,8840,9000,8740,53263
2015-12-17 00:00:00,9050,9000,9090,8870,43335
2015-12-18 00:00:00,9070,8980,9100,8900,27015
2015-12-21 00:00:00,9000,8940,9170,8940,62061
2015-12-22 00:00:00,9010,9060,9120,8940,41175
2015-12-23 00:00:00,9000,9020,9120,8980,40962
2015-12-24 00:00:00,9020,9160,9160,8950,53039
2015-12-28 00:00:00,9000,9030,9080,8950,42606
2015-12-29 00:00:00,9120,8910,9190,8910,75510
2015-12-30 00:00:00,9180,9130,9250,9030,50457
2016-01-04 00:00:00,9010,9180,9210,8970,57295
2016-01-05 00:00:00,8990,8840,9080,8840,87585
2016-01-06 00:00:00,9250,9000,9310,8900,166586
2016-01-07 00:00:00,9170,9250,9290,9100,86172
2016-01-08 00:00:00,9150,9050,9180,8770,129410
2016-01-11 00:00:00,9400,9150,9600,9120,351255
2016-01-12 00:00:00,9150,9470,9480,8970,136892
2016-01-13 00:00:00,9150,9200,9250,9110,94268
2016-01-14 00:00:00,9000,9050,9100,8930,94312
2016-01-15 00:00:00,8900,9090,9160,8790,97396
2016-01-18 00:00:00,8910,8810,8960,8780,89705
2016-01-19 00:00:00,8950,8910,8970,8800,100841
2016-01-20 00:00:00,8920,9000,9170,8820,178542
2016-01-21 00:00:00,9040,8920,9160,8790,204464
2016-01-22 00:00:00,8970,9050,9100,8960,101158
2016-01-25 00:00:00,9020,9050,9140,8930,150638
2016-01-26 00:00:00,9060,9000,9080,8910,131267
2016-01-27 00:00:00,9020,9160,9400,8960,360521
2016-01-28 00:00:00,9100,9000,9160,8940,153257
